product_name,price,item_type,description,misc_notes,in_stock,supplier
Turbosmart Boost Controller eB2 60psi 60mm Sleeper,£551.94,,"SKU:     
        TS-0301-1003","Product Features:

Boost Levels: up to 6 levels of boost.
Boost on Demand: provides instant overtaking power at your fingertips
Gear-based Mapping: set a different boost for each gear!
Adjustable Boost Levels: program boost against TIME or RPM.
Aux Output: fully programmable; controls water spray, methanol or nitrous injection.
RPM Compensation: eliminates boost drop-off at high RPM.
Peak Hold/Max Boost Recall: monitors boost and RPM.
Gate Pressure: eliminates wastegate creep.
Overboost Shutdown: provides added protection for your engine.
Display: programmable, can be configured to KPA, Bar or PSI.
Auto Dimming: with backlit buttons for hassle-free navigation.",Not In Stock,TorqueGT
Soft99 Hydro Gloss Wax - Water Repellent Type,"£23.99, £31.99",,"SKU:     
        S99-00532","Directions:
1. Prepare the car by hand washing with neutral pH shampoo2. Spread an even and possibly thin layer of wax by working with the attached microfiber, element by element3. Wait 5 minutes so the wax is dry on the surface4. Polish wax residues with a clean and dry microfiber",In Stock,TorqueGT
Soft99 Premium Microfibre Cloth,£4.49,,"SKU:     
        S99-04207",,In Stock,TorqueGT
Can of Whoop-Ass Air Freshener,£3.99,,"SKU:     
        TGT-WA    





Need to freshen up your interior? Open a can of Whoop-Ass!
With a long lasting Strawberry scent, adjustable ventilated lid to control the intensity and all natural ingredients.","Product Features:

Fresh, long lasting fragrance
Adjustable lid to control fragrance intensity
All natural ingredients",In Stock,TorqueGT
Enkei GTC01RR Alloy Wheel,£510.74,,"SKU:     
        E-GTC01RR    


                GTC01RR1895455112MDG            

                GTC01RR1895355120MDG            

                GTC01RR18953551143G            

                GTC01RR18953551143MDG            

                GTC01RR1895355100MDG            

                GTC01RR1895225120G            

                GTC01RR1895225120MDG            

                GTC01RR18952251143G            

                GTC01RR18952251143MDG            

                GTC01RR1894051143G            

                GTC01RR1894051143MDG            

                GTC01RR189405100G            

                GTC01RR189405100MDG            

                GTC01RR1893551143MDG            

                GTC01RR1892551143MDG            

                GTC01RR18855051143MDG            

                GTC01RR1885455120G            

                GTC01RR1885455120MDG            

                GTC01RR18854251143G            

                GTC01RR18854251143MDG            

                GTC01RR1885425100G            

                GTC01RR1885425100MDG            

                GTC01RR1885355120MDG            

                GTC01RR18853551143G            

                GTC01RR18853551143MDG            

                GTC01RR1884551143MDG            

                GTC01RR1884551143G            

                GTC01RR188455112G            

                GTC01RR188455112MDG            

                GTC01RR188455100G            

                GTC01RR188455100MDG            

                GTC01RR18754551143G            

                GTC01RR18754551143MDG            

                GTC01RR1875455100G            

                GTC01RR1875455100MDG            

                GTC01RR1811305120MDG            

                GTC01RR18111651143G            

                GTC01RR18111651143MDG            

                GTC01RR18105235120MDG            

                GTC01RR181052251143MDG            

                GTC01RR181051551143G            

                GTC01RR181051551143MDG            

                GTC01RR18103051143MDG            

                GTC01RR18102251143G            

                GTC01RR18102251143MDG","Product features:

High strength, lightweight wheel
MAT Technology, one-piece cast wheel
Priced per wheel
Centre caps included",In Stock,TorqueGT
Motul 300V Competition Engine Oil - 10W-40 5L,£115.00,,"SKU:     
        MOTUL-110822    





Motul have developed a range of fully synthetic engine oil specifically tailored for racing and sports cars, providing maximum protection against wear, oil pressure drops and oxidation.
Using ESTER Core® technology coupled with an innovative additive package, this allows maximum power output of the engine without compromising reliability and wear.","Product Features:

10W-40
5 litres
Maintains stable oil pressure
Reduced engin wear
Reduced oil consumption",Not In Stock,TorqueGT
Turbosmart Kompact Blow Off Valve Replacement Trumpet,£25.14,,"SKU:     
        TS-0203-3004    





Founded in 1997, Australian manufacturer Turbosmart has quickly established itself as a brand that designs and manufactures high quality products which are reasonably priced. Combining innovative design, strict quality control and rigorous testing, Turbosmart are a brand that any forced induction car owner should consider.


Replacement Trumpet for Turbosmart Kompact Dual Port and Plumb Back BOVs. NOT suitable for Shortie/compressor cover style with 3-bolt flange",,Not In Stock,TorqueGT
Millers CFS Nanodrive 10W60 Fully Synthetic Oil - 1L,"£12.95, £14.00",,"SKU:     
        7956-1L    





Millers is a family owned, UK based company that develops engine oils and fuel additives for both commercial and domestic markets, as well as catering for motor sport applications. Their performance lubricants are proven in race series such as the Civic Cup and Caterham Championship, giving you absolute peace of mind in the quality of their oils.
Offering the benefits of their triple ester Nanodrive technology, but at a more affordable price point than their top of the range NT+ oil, Millers CFS 10W60 bridges the gap between performance and affordability.
With significant improvements made over previous generations of their competition grade fully synthetic, CFS 10w60 gives appreciably better performance and extended life of internal components. Perfect for use in fast road, race, rally, sprints and hill climbs, and is also ideally suited for engines with hydraulic tappets.","Manufactured to far exceed the requirements of API SL/CF and ACEA A3/B4
Ideal for fast road or track day use, especially in high performance modified engines 
Suitable for operating at 125c with peak temperatures up to 150c


 , 


Manufactured to far exceed the requirements of API SL/CF and ACEA A3/B4
Ideal for fast road or track day use, especially in high performance modified engines 
Suitable for operating at 125c with peak temperatures up to 150c",In Stock,TorqueGT
Exoracing 15mx5cm Carbon Exhaust Heat Wrap Tape Manifold Insulation,£32.99,,"SKU:     
        EX-EXH-BLA-15M","Product Features:

Reduces under bonnet temperatures.
Improves power &amp; protects other components
Superior durability and heat retention
Size: 5cm x 15m
Material: titanium fibre
Temperature continuous 1800°C
Temperature intermittent 3100°C
Includes: 4 x stainless cable ties
It is always recommended to soak the exhaust wrap in water when installing, and to have a consistent overlap on the piping to reduce heat spots.",Not In Stock,TorqueGT
Hybrid Racing Silicone Wrist Band,£8.00,,"SKU:     
        HYB-BAN-01-05",,In Stock,TorqueGT
"Whiteline Upper Inner Adjustable Arm Bush - BRZ/GT86, GRB",£130.91,,"SKU:     
        KCA326","Product Notes: On-Car Adjustable Allows +/- 0.75deg Camber
Installation Instructions: HERE",Not In Stock,TorqueGT
Deatschwerks DW300 In-Tank Fuel Pump 340lph,£157.04,,"SKU:     
        9-301-1000","Product features:

E85 compatible
Direct replacement for OEM pump
Comprehensive universal fitting kit
Flow rate of 340lph 


Kit Contents:


2"" Sock
Connector
4"" of fuel line
Misc hardware



Full technical specs can be found HERE.",In Stock,TorqueGT
Rays Gram Light 57DR Alloy Wheel  - 18x10.5J ET22 5x114 Semi Gloss Black,£403.20,,,,Not In Stock,TorqueGT
"Bride ZETA IV Fixed Bucket Seat, Red","£1,200.00",,"SKU:     
        BR-HA1BSF    





Bride ZETA IV Fixed Bucket Seat
The ZETA IV is the latest model in the ZETA series of full bucket seats from BRIDE, which are suitable for a wide range of users from daily driving to circuit racing. This model has been updated after a 16-year interval. The shell of the ZETA IV is designed to fit the shape of the body and is suitable for various driving conditions from daily driving to aggressive sports driving. The seat is made using high-performance materials and BRIDE's sheet manufacturing technology, resulting in a lightweight and highly rigid seat that outperforms conventional products in terms of holdability, comfort, durability, and safety. The ZETA IV is available in two shell materials: FRP silver and Super aramid black, and three color variations: gradation logo, black, and red. This seat is also FIA approved.
The next evolution of Zeta
















The seat has been upgraded to a racing sport seat that can be used in a wider range of vehicle types and categories over a long period of time thanks to the incorporation of features such as the LOWMAX system (previously used in some seats), large belt holes, and durable PVC leather.
FIA Approved
The ZETA IV seat complies with the safety standards of the Japanese Road Transport Vehicle Act for automobile inspection. It has also been certified to the ""FIA8855-1999"" standard established by the FIA (International Automobile Federation), making it suitable for use in international formal races and competitions. The seat has been designed and manufactured to high standards to pass more stringent tests, ensuring a high level of safety.



                    Specification                

 










Write Your Own Review


 
You're reviewing:Bride ZETA IV Fixed Bucket Seat, Red


Your Rating



Overall



1 star



2 stars



3 stars



4 stars



5 stars








Nickname





Summary





Review







Submit Review









            More from Bride        






 











                                        Bride EUROSTER II Reclining Bucket Seat, Black                                    

 



Add to Cart



Add to Wish List


Add to Compare









 











                                        Bride GIASIII Gradation Reclining Bucket Seat, Logo Silver FRP Shell                                     

 



Add to Cart



Add to Wish List


Add to Compare",,Preorder Only,TorqueGT
Millers CRX 75w90 NT+ Fully Synthetic Gear Oil - LS 1L,£17.00,,"SKU:     
        7968-1L    





Millers is a family owned, UK based company that develops engine oils and fuel additives for both commercial and domestic markets, as well as catering for motor sport applications. Their performance lubricants are proven in race series such as the Civic Cup and Caterham Championship, giving you absolute peace of mind in the quality of their oils
CRX LS NT+ is a competition fully synthetic transmission oil with friction modifiers for limited slip differentials. It incorporates Nano Technology additive chemistry to significantly reduce internal frictional and power losses, whilst providing additional shock protection to the gear mechanism.
Designed for the lubrication of competition gearboxes and axles which require limited slip high performance oils. Hypoid differentials with limited slip, gearboxes with combined limited slip differential, synchromesh and non-synchromesh manual gearboxes, transaxles and transfer boxes.
Sold in 1 litre bottles.","Designed for use in competition gearboxes and axles with limited slip differentials, as well as hypoid differentials with limited slip, gearboxes with combined limited slip differentials, synchromesh and non-synchromesh gearboxes and transfer boxes.
Meets API GL4, API GL5 and API MT-1
Exceptional cold flow properties
Significantly reduces friction, temperature, wear and minimises power loss.",Preorder Only,TorqueGT
Turbosmart Replacement Tee For In Cabin And Dual Stage Boost Controller,£28.74,,"SKU:     
        TS-0105-3002",,Not In Stock,TorqueGT
"Mishimoto Universal Curved Blade Electric Fan 12""",£97.14,,"SKU:     
        MMFAN-12C    





This curved blade fan can be used as an upgrade to the OEM fan for more efficient cooling or fitment issues with aftermarket products. With its slim design, the fan can easily be installed flush against a radiator. For universal installation, use Mishimoto Universal Fan Mount Kit (P/N: MMFAN-MOUNT). Mishimoto recommends the use of a fan shroud and our fan mounting kit in addition to the included mounting tabs for a secure installation.","High-flow curved blade fan provides 1150 CFM of airflow
Universal fitment
Compact design with a diameter of 304.5mm and an overall thickness of only 60mm"" provides increased engine bay space
Easily reversible for use as a pusher or puller fan
Mishimoto Lifetime Warranty",Not In Stock,TorqueGT
Soft99 PH Neutral Creamy Shampoo 1000ml,£13.99,,"SKU:     
        S99-04280","Directions:

1. Rinse your car thoroughly 
2. Apply creamy type shampoo directly to your chosen sponge or wash mitt 
3. Lather up and start wiping your car down 
4. Thoroughly rinse your car",In Stock,TorqueGT
Hardrace Harden Engine Mount Set 2 pcs - GT86 / BRZ,£350.10,,"SKU:     
        HR7440","Product features:

Improved handling and steering response
Hardened rubber bushes 
Reduced engine and transmission movement
2 piece set",Not In Stock,TorqueGT
Soft99 Premium Kit Light & Bag ,£126.99,,"SKU:     
        S99-SBPKL    





Produced in Japan, Soft99's range of cleaning products allow those who drive JDM to clean JDM. Very well priced and boasting exceptional performance, Soft99's products bring Japanese quality to your car cleaning ritual.
The kit is composed of 10 products for washing, decontamination, protection and maintenance of car paint, glass surfaces and tires.","Description:
The kit is composed of 10 products for washing, decontamination, protection and maintenance of car paint, glass surfaces and tires.
The kit comprises of 10 products:
1. Microfiber Cloth - Super Water Absorbant Regular Size2. Glaco Glass Compound Roll On 100 ml3. Ultra Glaco - water-repellent coating 70ml4. Neutral Shampoo Creamy Type - shampoo 1000ml5. SMOOTH EGG Clay Bar  claybar 100g6. Micro Liquid Compound Set Light  cleaner 250ml7. Fusso Coat Speed &amp; Barrier Hand Spray  quick detailer 400ml8. Fusso Coat 12 Months Wax Light - wax 200g9. Tire Black Wax - tire wax 170g10. Iron terminator  fallout remover 500ml",In Stock,TorqueGT
Turbosmart Raceport Blow Off Valve Gen V With Female Flange,£275.94,,"SKU:     
        TS-RACEPORT-BOV-GENV-FF    


                TS-0204-1141            

                TS-0204-1142            

                TS-0204-1143            

                TS-0204-1144            






Founded in 1997, Australian manufacturer Turbosmart has quickly established itself as a brand that designs and manufactures high quality products which are reasonably priced. Combining innovative design, strict quality control and rigorous testing, Turbosmart are a brand that any forced induction car owner should consider.
The Turbosmart RacePort Blow Off Valve is famous for being an amazingly small and light BOV for turbocharged competition-level engines. Featuring our unique collar design and internal flow structures, it is 50% lighter and 25% smaller than the competition while flowing 330 CFM  making it the highest flowing BOV of its type on the market.
The Female Flange Variant is designed to fit peer/competitor flange systems for ease of changeover &amp; do not include a weld-on mounting flange. For a complete kit including a mounting system, refer to our full range of Turbosmart RacePort Blow Off Valves.
SUPPLIED WITH:Raceport 50mm BOVVacuum fittingsV-band AssemblyBlue Spring Rated -18 to -14 InHg (installed)Turbosmart Decal
Weld-Flange NOT INCLUDED!","Product Features:

Female Flange System for Peer Fitment
Billet 6000 Series Aluminium Construction
Quick Release Aluminium V-Band Collar
2.0 Inlet flows over 330 CFM
Milspec Hard-Anodized Valve Guide and Stem
Hi-Temp Silicone Nomex Diaphragm
Boost Balance Technology
Positive Sealing Valve Seat
Twin 1/8NPT Reference Ports
Options Valve Position Sensor Upgrades",Not In Stock,TorqueGT
Deatschwerks DW300 In-Tank Fuel Pump 340lph,£157.04,,"SKU:     
        9-301-1000","Product features:

E85 compatible
Direct replacement for OEM pump
Comprehensive universal fitting kit
Flow rate of 340lph 


Kit Contents:


2"" Sock
Connector
4"" of fuel line
Misc hardware



Full technical specs can be found HERE.",In Stock,TorqueGT
Whiteline Front Adjustable ARB Links - GT86/BRZ,£141.90,,"SKU:     
        KLC179","Features Include:

Direct replacement for factory items
Manufactured from high quality alloy
Sold as a pair",Not In Stock,TorqueGT
Rays Gram Lights 57DR Alloy Wheel,£277.20,,"SKU:     
        RAYS-GL-57DR    


                57845802892SB            

                57845803592SB            

                57849954536SB            

                57849953595SB            

                57849854595SB            

                57849853595SB            

                57849053595SB            

                57849051295SB            

                57848953896SB            

                57848953895SB            

                57848952295SB            

                57848951295SB            

                57848853795SB            

                57848052295SB            

                57848051295SB            

                57847903895SB            

                57847902295SB            

                57847901295SB","High strength, lightweight wheel
One-piece cast wheel
Includes Gram Lights red decal sticker
Includes tyre valves
Centre caps available seperately",Not In Stock,TorqueGT
Fuchs Titan Race Pro S 5W40 Fully Synthetic Oil - 1L,"£13.85, £13.99",,"SKU:     
        F600888084","Ideally suited for modern high performance engines under extreme operating conditions
Excellent low temp flow characteristics
Ester synthetic formula offers excellent anti-wear characteristics, particularly in high lift camshaft and heavily loaded vavle train components",In Stock,TorqueGT
Tomei Duracon Shift Knob - Various Sizes,£35.72,,"SKU:     
        TF101    


                TF101C-0000B            

                TF101C-0000A            

                TF101B-0000B            

                TF101B-0000A            

                TF101A-0000A            

                T-763004            

                T763014","Product Features: 

Duracon construction
Available in a range of sizes and fitments
Finished with the Tomei logo on top

Fitment:

M12x1.25 is suitable for most Toyota and Subaru models, as well as Nissan Skyline R34 GTR and Silvia S15
M10x1.25 is suitable for most Mitsubishi, Mazda and Nissan models (other than those listed above.)",In Stock,TorqueGT
Hybrid Racing Dimensions T-Shirt,£29.00,,"SKU:     
        HYB-DMT-00    


                HYB-DMT-00-0S            

                HYB-DMT-00-0M            

                HYB-DMT-00-0L            

                HYB-DMT-00-XL            

                HYB-DMT-00-2X","Product features:

Dimensioned hr Logo
100% Cotton Gildan
Black",In Stock,TorqueGT
Skunk2 Alpha Series Connecting Rods Subaru Brz Toyota Gt86,£473.17,,"SKU:     
        306-12-1010",,Preorder Only,TorqueGT
Turbosmart Kompact Blow Off Valve BOV5 V-Band Adapter,£35.94,,"SKU:     
        TS-0203-3020    





Founded in 1997, Australian manufacturer Turbosmart has quickly established itself as a brand that designs and manufactures high quality products which are reasonably priced. Combining innovative design, strict quality control and rigorous testing, Turbosmart are a brand that any forced induction car owner should consider.




Suits Turbosmart Kompact Dual Port and Plumb Back BOVs and Universal EM",,Not In Stock,TorqueGT
Soft99 Mirror Shine Wax Light 200g,"£15.39, £21.99",,"SKU:     
        S99-00373","Directions:

1. Remove any dirt on the car bodywork with car shampoo
2. Apply evenly to car surface with microfibre cloth included
3. Simply polish firmly until there is nothing left on the bodywork",In Stock,TorqueGT
Hybrid Racing HR Edition Lanyard,£14.00,,"SKU:     
        HYB-LAN-00-02","Product features:

Durable nylon band
Single side screen print
Plated end clip
Works great for keys or documents!",In Stock,TorqueGT
Turbosmart Raceport Blow Off Valve Gen V,£287.94,,"SKU:     
        TS-RACEPORT-BOV-GENV    


                TS-0204-1134            

                TS-0204-1131            

                TS-0204-1133            

                TS-0204-1132            

                TS-0204-1135","Product Features:

Billet 6000 Series Aluminium Construction
CFD Driven &amp; Optimised Designs
2.0 / 50mm Inlet Flows Over 330CFM
Quick Release Aluminium V-Band
Unique Locking Collar Design
MILSPEC Hard-Anodized Valve Guide and Stem
Hi-Temp proprietary Silicon Nomex Diaphragm
Positive Sealing Valve Seat
Twin 1/8NPT Reference Port Fittings
5 User Configurable Spring Options Available",Not In Stock,TorqueGT
Exoracing 10mx5cm Carbon Exhaust Heat Wrap Tape Manifold Insulation,£27.49,,"SKU:     
        EX-EXH-BLA    





Exhaust heat wrap is one of the easiest and cheapest methods of heat management in your engine bay. There are a few advantages for using exhaust wrap, but the main ones are to decrease engine bay temperatures and to speed up the exhaust gas flow. Exhaust heat wrap is very simple and easy to install, but will have a dramatic effect to your temperatures, and is one of the first go to heat management methods of many racing teams worldwide. The exhaust wrap is simply wrapped around your exhaust manifold and fixed into place using our supplied cable ties to make sure you have a strong tight seal.
The exhaust system of a car carries out the hot exhaust gas from the engine which can reach temperatures of up to 1200 degrees in some extreme applications. The effects of a hot manifold and exhaust system can negatively impact the overall performance of an engine due to intake air temperature. An engine is designed to run at an optimal temperature which will make peak power, usually the cooler the intake temperatures the better an engine will perform and the more power it will make. In some applications the cooling system on a car is not enough to keep the engine at optimal temperatures, resulting in heat soak to engine components which will dramatically reduce the efficiency and power. As well as the efficiency and power being affected by temperature, having too much heat in an engine bay can cause unnecessary wear and strain on delicate components that are not designed to operate in extreme engine bay temperatures. Items such as bearings, fluid lines and wiring can become damaged with overexposure to heat.
Another added benefit of our exhaust heat wrap is that you will reduce any radiating heat from the exhaust through the firewall or chassis resulting in less heat coming into the car. You can reduce temperatures anywhere up to a massive 50% which has a massive number of benefits and virtually no downside.","Product Features:

Reduces under bonnet temperatures.
Improves power &amp; protects other components
Superior durability and heat retention
Size: 5cm x 10m
Material: titanium fibre
Temperature continuous 1800°C
Temperature intermittent 3100°C
Includes: 4 x stainless cable ties
It is always recommended to soak the exhaust wrap in water when installing, and to have a consistent overlap on the piping to reduce heat spots.",In Stock,TorqueGT
